"Term ID","Term Permalink","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count,"Image URL",product_group_id,product_group_name,category_id,category_name,subcategory_id,subcategory_name,part_type_id,part_type_name,subpart_id,suppart_name,short_description,long_description,turn_off_subcategories_products,category_image
83,http://transamericanautoparts.local/category/door-checks/,"Door Checks",door-checks,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",cat1130150,,,,,,,,,
84,http://transamericanautoparts.local/category/door-surround-knobs/,"Door Surround Knobs",door-surround-knobs,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",cat1130155,,,,,,,,,
85,http://transamericanautoparts.local/category/door-pins/,"Door Pins",door-pins,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-10652,,,,,,,,,
86,http://transamericanautoparts.local/category/door-window-crank-handle/,"Door Window Crank Handle",door-window-crank-handle,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-1576,,,,,,,,,
87,http://transamericanautoparts.local/category/foot-pegs/,"Foot Pegs",foot-pegs,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-49809,,,,,,,,,
88,http://transamericanautoparts.local/category/door-seal/,"Door Seal",door-seal,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-11415,,,,,,,,,
89,http://transamericanautoparts.local/category/door-covers-and-netting/,"Door Covers and Netting",door-covers-and-netting,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-14851,,,,,,,,,
90,http://transamericanautoparts.local/category/door-wire-looms/,"Door Wire Looms",door-wire-looms,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",cat1130159,,,,,,,,,
91,http://transamericanautoparts.local/category/arm-rest/,"Arm Rest",arm-rest,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",4wp-us-1436,,,,,,,,,
92,http://transamericanautoparts.local/category/door-weather-seal-kits/,"Door Weather Seal Kits",door-weather-seal-kits,,313,"Doors &amp; Door Accessories",doors-door-accessories,0,,,,4wp-us-C87,"Doors & Door Accessories",cat1130157,,,,,,,,,
