Term Name,Parent Name,Parent Slug,Count,Image URL,Image Filename,Image Path,Image ID,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,category_id,_category_id,Product Group ID,Product Group Name,Category Name,Subcategory ID,Subcategory Name,Part Type ID,Part Type Name,SubPart ID,SupPart Name,Short Description (Top),Long Description (Bottom)
Clutch & Bellhousing Components,Drivetrain & Differential,,,,,,,,,,,,4wp-us-C12,,,,Drivetrain & Differential,4wp-us-SC511,,,,,,,
Automatic Transmissions,Drivetrain & Differential,,,,,,,,,,,,4wp-us-C12,,,,Drivetrain & Differential,4wp-us-SC381,,,,,,,
Body Kits & Accessories,Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,4wp-us-SC21,,,,,,,
Mirrors,Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,4wp-us-SC465,,,,,,,
Racks,Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,4wp-us-SC82,,,,,,,
Grilles,Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,4wp-us-1384,,,,,,,
"Nameplates, Emblems & Decals",Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,4wp-us-SC423,,,,,,,
Truck Bed & Cargo Management,Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,4wp-us-SC120,,,,,,,
Steel Accessories,Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,4wp-us-SC470,,,,,,,
Car Care,Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,4wp-us-SC424,,,,,,,
Bugshields & Vent Visors,Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,4wp-us-SC457,,,,,,,
Exterior Billet Accessories,Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,4wp-us-SC410,,,,,,,
Fluid Storage,Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,4wp-us-SC188,,,,,,,
"Windshield Wiper Motors, Blades & Accessories",Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,4wp-us-SC483,,,,,,,
Bed Coatings & Paints,Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,4wp-us-SC506,,,,,,,
Horns and Train Horns,Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,4wp-us-SC241,,,,,,,
Bed Brace,Exterior Parts,,,,,,,,,,,,4wp-us-S3,,,,Exterior Parts,cat1120182,,,,,,,
"Brackets, Gussets & Tabs",Fabrication & Tools,,,,,,,,,,,,4wp-us-C86,,,,Fabrication & Tools,4wp-us-SC527,,,,,,,
Hand Tools,Fabrication & Tools,,,,,,,,,,,,4wp-us-C86,,,,Fabrication & Tools,4wp-us-SC317,,,,,,,
"Flex Joints, Rod Ends & Jam Nuts",Fabrication & Tools,,,,,,,,,,,,4wp-us-C86,,,,Fabrication & Tools,4wp-us-SC528,,,,,,,
Specialty Tools,Fabrication & Tools,,,,,,,,,,,,4wp-us-C86,,,,Fabrication & Tools,4wp-us-SC530,,,,,,,
Tubing & Tube Adapters,Fabrication & Tools,,,,,,,,,,,,4wp-us-C86,,,,Fabrication & Tools,4wp-us-SC531,,,,,,,
Garage Accessories,Fabrication & Tools,,,,,,,,,,,,4wp-us-C86,,,,Fabrication & Tools,cat1120278,,,,,,,
Fender Vents,Fenders & Flares,,,,,,,,,,,,4wp-us-C80,,,,Fenders & Flares,4wp-us-13737,,,,,,,
Fender Flares,Fenders & Flares,,,,,,,,,,,,4wp-us-C80,,,,Fenders & Flares,4wp-us-1036,,,,,,,
Tube Fenders,Fenders & Flares,,,,,,,,,,,,4wp-us-C80,,,,Fenders & Flares,cat1130171,,,,,,,
Fender Liners,Fenders & Flares,,,,,,,,,,,,4wp-us-C80,,,,Fenders & Flares,4wp-us-12475,,,,,,,
Fender Deflector,Fenders & Flares,,,,,,,,,,,,4wp-us-C80,,,,Fenders & Flares,4wp-us-13926,,,,,,,
Fender Flare Trims,Fenders & Flares,,,,,,,,,,,,4wp-us-C80,,,,Fenders & Flares,cat1130173,,,,,,,
Fender Flare Hardware Kit,Fenders & Flares,,,,,,,,,,,,4wp-us-C80,,,,Fenders & Flares,4wp-us-14087,,,,,,,
Fender Flare Extension,Fenders & Flares,,,,,,,,,,,,4wp-us-C80,,,,Fenders & Flares,4wp-us-16553,,,,,,,
Fender Trim,Fenders & Flares,,,,,,,,,,,,4wp-us-C80,,,,Fenders & Flares,cat1440207,,,,,,,
Engine & Transmission Cooling,Heating & Cooling,,,,,,,,,,,,4wp-us-C84,,,,Heating & Cooling,4wp-us-SC518,,,,,,,
Heating & Air Conditioning,Heating & Cooling,,,,,,,,,,,,4wp-us-C84,,,,Heating & Cooling,4wp-us-SC519,,,,,,,
Storage & Organizers,Interior Parts & Accessories,,,,,,,,,,,,4wp-us-S7,,,,Interior Parts & Accessories,4wp-us-SC411,,,,,,,
Interior Accessories,Interior Parts & Accessories,,,,,,,,,,,,4wp-us-S7,,,,Interior Parts & Accessories,4wp-us-SC412,,,,,,,
Floor Mats & Cargo Liners,Interior Parts & Accessories,,,,,,,,,,,,4wp-us-S7,,,,Interior Parts & Accessories,4wp-us-SC272,,,,,,,
Audio & Video,Interior Parts & Accessories,,,,,,,,,,,,4wp-us-S7,,,,Interior Parts & Accessories,4wp-us-SC500,,,,,,,
Carpet Kits & Sound Deadening,Interior Parts & Accessories,,,,,,,,,,,,4wp-us-S7,,,,Interior Parts & Accessories,4wp-us-SC352,,,,,,,
Seat Covers,Interior Parts & Accessories,,,,,,,,,,,,4wp-us-S7,,,,Interior Parts & Accessories,4wp-us-SC333,,,,,,,
Seats,Interior Parts & Accessories,,,,,,,,,,,,4wp-us-S7,,,,Interior Parts & Accessories,4wp-us-SC418,,,,,,,
Steering Wheels,Interior Parts & Accessories,,,,,,,,,,,,4wp-us-S7,,,,Interior Parts & Accessories,4wp-us-SC98,,,,,,,
Dashboard Accessories,Interior Parts & Accessories,,,,,,,,,,,,4wp-us-S7,,,,Interior Parts & Accessories,4wp-us-SC274,,,,,,,
Security Alarms,Interior Parts & Accessories,,,,,,,,,,,,4wp-us-S7,,,,Interior Parts & Accessories,4wp-us-11775,,,,,,,
Interior Cabin Filters,Interior Parts & Accessories,,,,,,,,,,,,4wp-us-S7,,,,Interior Parts & Accessories,4wp-us-SC572,,,,,,,
Suspension Accessories,"Lift Kits, Suspension & Shocks",,,,,,,,,,,,cat1120291,,,,"Lift Kits, Suspension & Shocks",4wp-us-SC101,,,,,,,
Shock Absorbers & Shock Accessories,"Lift Kits, Suspension & Shocks",,,,,,,,,,,,cat1120291,,,,"Lift Kits, Suspension & Shocks",4wp-us-7556,,,,,,,
Complete Suspension Systems and Lift Kits,"Lift Kits, Suspension & Shocks",,,,,,,,,,,,cat1120291,,,,"Lift Kits, Suspension & Shocks",4wp-us-18833,,,,,,,
Leveling Kits,"Lift Kits, Suspension & Shocks",,,,,,,,,,,,cat1120291,,,,"Lift Kits, Suspension & Shocks",4wp-us-SC358,,,,,,,
Body Lifts & Bushings,"Lift Kits, Suspension & Shocks",,,,,,,,,,,,cat1120291,,,,"Lift Kits, Suspension & Shocks",4wp-us-SC20,,,,,,,
Steering Stabilizers,"Lift Kits, Suspension & Shocks",,,,,,,,,,,,cat1120291,,,,"Lift Kits, Suspension & Shocks",4wp-us-SC509,,,,,,,
Solid Axle Conversion Kits,"Lift Kits, Suspension & Shocks",,,,,,,,,,,,cat1120291,,,,"Lift Kits, Suspension & Shocks",4wp-us-SC389,,,,,,,
Air Ride Suspensions,"Lift Kits, Suspension & Shocks",,,,,,,,,,,,cat1120291,,,,"Lift Kits, Suspension & Shocks",4wp-us-SC546,,,,,,,
Lowering & Sport Suspensions,"Lift Kits, Suspension & Shocks",,,,,,,,,,,,cat1120291,,,,"Lift Kits, Suspension & Shocks",4wp-us-SC279,,,,,,,
"Offroad Racing, Fog & Driving Lights",Lighting & Lighting Accessories,,,,,,,,,,,,4wp-us-C14,,,,Lighting & Lighting Accessories,cat1120283,,,,,,,
Light Mounting Brackets & Cradles,Lighting & Lighting Accessories,,,,,,,,,,,,4wp-us-C14,,,,Lighting & Lighting Accessories,cat1120289,,,,,,,
Lighting Accessories,Lighting & Lighting Accessories,,,,,,,,,,,,4wp-us-C14,,,,Lighting & Lighting Accessories,4wp-us-SC69,,,,,,,
